,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,80.58,76,60,7.0,broken clouds
1,Klaksvik,FO,62.2266,-6.589,45.52,98,100,12.86,overcast clouds
2,Albany,US,42.6001,-73.9662,40.03,88,100,2.59,overcast clouds
3,Yellowknife,CA,62.456,-114.3525,23.41,66,99,13.0,overcast clouds
4,Marsa Matruh,EG,31.3525,27.2453,63.34,69,0,9.22,clear sky
5,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.6,95,65,1.86,broken clouds
6,Tuktoyaktuk,CA,69.4541,-133.0374,-9.81,91,98,5.23,overcast clouds
7,Atuona,PF,-9.8,-139.0333,79.88,72,52,21.45,broken clouds
8,Nikolskoye,RU,59.7035,30.7861,29.8,96,34,3.51,scattered clouds
9,New Norfolk,AU,-42.7826,147.0587,56.7,89,97,1.7,overcast clouds
10,Saskylakh,RU,71.9167,114.0833,-6.7,98,100,10.65,overcast clouds
11,Trinidad,BO,-14.8333,-64.9,77.54,82,21,3.31,few clouds
12,Cabo San Lucas,MX,22.8909,-109.9124,78.62,71,40,3.0,scattered clouds
13,Rantepao,ID,-2.9701,119.8978,63.84,95,70,3.13,broken clouds
14,Longyearbyen,SJ,78.2186,15.6401,8.44,52,20,20.71,few clouds
15,Saldanha,ZA,-33.0117,17.9442,60.73,81,0,8.37,clear sky
16,Leningradskiy,RU,69.3833,178.4167,-11.06,98,91,3.0,overcast clouds
17,Vaini,TO,-21.2,-175.2,75.36,94,75,5.75,thunderstorm
18,Seydi,TM,39.4816,62.9137,67.62,26,0,10.83,clear sky
19,Qaanaaq,GL,77.484,-69.3632,12.85,72,72,6.78,broken clouds
20,Severo-Kurilsk,RU,50.6789,156.125,33.3,87,23,11.81,few clouds
21,Junction City,US,39.0286,-96.8314,68.4,51,100,10.36,overcast clouds
22,Port Elizabeth,ZA,-33.918,25.5701,65.32,87,20,9.22,thunderstorm with rain
23,Georgetown,MY,5.4112,100.3354,76.95,88,20,3.44,few clouds
24,Mar Del Plata,AR,-38.0023,-57.5575,58.87,73,98,15.01,overcast clouds
25,Esperance,AU,-33.8667,121.9,64.24,91,100,5.28,overcast clouds
26,Yichang,CN,30.7144,111.2847,59.9,71,100,0.76,moderate rain
27,Bilma,NE,18.6853,12.9164,85.1,5,11,5.23,few clouds
